Item;Atividade;Gerencia;Setor;Regulado;Cidade;Mes;MesAgendado;MesRealizado;GIASO;Processo;PCDP;Prioridade
N2704-24;"OP90-501 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional da Unidade Aérea Pública (UAP)";GOAG;GTVC;"A definir";A definir;Dez;;;"";"";"";"N/D"
N2705-24;"OP90-501 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional da Unidade Aérea Pública (UAP)";GOAG;GTVC;"A definir";A definir;;;;"";"";"";"N/D"
N2706-24;"OP90-501 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional da Unidade Aérea Pública (UAP)";GOAG;GTVC;"A definir";A definir;;;;"";"";"";"N/D"
N2707-24;"OP90-501 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional da Unidade Aérea Pública (UAP)";GOAG;GTVC;"A definir";A definir;;;;"";"";"";"N/D"
N2708-24;"OP90-501 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional da Unidade Aérea Pública (UAP)";GOAG;GTVC;"CORPO DE BOMBEIROS MILITAR DE RONDÔNIA - CBMRO";Porto Velho - RO;Abr;Dez;Dez;"savio.ferreira";"00058.006327/2024-13";"REMOTA";"A"
N2709-24;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;SFI;"SWPD";Boa Vista - RR;Out;Nov;Nov;"SFI";"00058.009696/2023-79";"1779/2024";"A"
N2710-24;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;SFI;"SWPD";Boa Vista - RR;Out;Nov;Nov;"SFI";"00058.009703/2023-32";"1779/2024";"A"
N2711-24;"OP90-501 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional da Unidade Aérea Pública (UAP)";GOAG;GTVC;"A definir";A definir;;;;"";"";"";"N/D"
N2712-24;"OP90-501 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional da Unidade Aérea Pública (UAP)";GOAG;GTVC;"A definir";A definir;;;;"";"";"";"N/D"
N2713-24;"OP90-501 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional da Unidade Aérea Pública (UAP)";GOAG;GTVC;"A definir";A definir;;;;"";"";"";"N/D"
N2714-24;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;SFI;"SBBI";Curitiba - PR;Out;Out;Out;"SFI";"00058.033026/2023-73";"1770/2024";"A"
N2715-24;"OP90-501 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional da Unidade Aérea Pública (UAP)";GOAG;GTVC;"A definir";A definir;;;;"";"";"";"N/D"
N2716-24;"OP90-501 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional da Unidade Aérea Pública (UAP)";GOAG;GTVC;"A definir";A definir;;;;"";"";"";"N/D"
N2717-24;"OP90-501 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional da Unidade Aérea Pública (UAP)";GOAG;GTVC;"A definir";A definir;;;;"";"";"";"N/D"
N2718-24;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;SFI;"SBRF";RECIFE - PE;Out;Out;Out;"SFI";"00058.061055/2023-25";"1783/2024";"A"
