Item;Atividade;Gerencia;Setor;Regulado;Cidade;Mes;MesAgendado;MesRealizado;GIASO;Processo;PCDP;Prioridade
0001-21;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBSV";Salvador-BA;Jun;Nov;Nov;"CL assinado";"00058.059159/2021-16";"1208/2021";"A"
0002-21;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBSV";Salvador-BA;Jun;Nov;Nov;"CL assinado";"00058.059170/2021-78";"1208/2021";"A"
0003-21;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"Helicidade Heliporto (SIBH)";São Paulo - SP;Jul;Dez;Dez;"CL ASSINADO";"00058.066066/2021-30";"1356/2021";"A"
0004-21;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"Helipark (SIAV)";Carapicuíba - SP;Jul;Nov;;"";"";"";"A"
0005-21;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"Aeromaster Táxi Aéreo Ltda.";São Paulo - SP;Jul;Dez;Dez;"CL ASSINADO";"00058.064401/2021-65";"1051/2021";"A"
0006-21;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBBR";Brasília - DF;Set;Dez;Dez;"CL ASSINADO";"00058.064927/2021-45";"1335/2021";"A"
0007-21;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBME";Macaé-RJ;Jul;Dez;Dez;"";"00058.065360/2021-24";"1347/2021";"A"
0008-21;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBJR";Rio de Janeiro-RJ;Ago;Dez;;"";"00058.065708/2021-83";"1353/2021";"A"
0009-21;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBJR";Rio de Janeiro - RJ;Jul;Dez;Dez;"";"00058.065731/2021-78";"1354/2021";"A"
0010-21;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBJR";Rio de Janeiro - RJ;Jun;Dez;Dez;"CL ASSINADO";"00058.066422/2021-15";"1360/2021";"A"
0011-21;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBJR";Rio de Janeiro - RJ;Jun;;;"";"";"";"A"
0012-21;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"Pedra Bonita (RBAC 103)";Rio de Janeiro - RJ;Jul;Nov;Nov;"CL ASSINADO";"00058.057943/2021-81";"1251/2021";"A"
0013-21;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"AERO CENTER BRASIL TÁXI AÉREO LTDA";Várzea Grande - MT;Ago;Out;Out;"CL ASSINADO";"00058.047176/2021-01";"929/2021";"A"
0014-21;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"Aero Rio Táxi Aéreo Ltda";Rio de Janeiro - RJ;Jun;Jun;Jun;"CL ASSINADO";"00058.015281/2021-72";"346/2021";"A"
0015-21;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"AEROSPEED TÁXI AÉREO LTDA";Ribeirão Preto - SP;Jul;Set;Set;"CL ASSINADO";"00058.048631/2021-87";"947/2021";"A"
0016-21;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"AEROSUL TÁXI AÉREO LTDA.";Arapongas - PR;Ago;Out;Out;"CL ASSINADO";"00058.034967/2021-62";"720/2021";"A"
0017-21;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"AEROTOP TÁXI AÉREO LTDA";Macapá - AP;Set;;;"";"00058.045014/2021-20";"";"A"
0018-21;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"AEROVIDA TÁXI AÉREO LTDA?.";Goiânia - GO;Jul;Out;Out;"CL ASSINADO";"00058.047199/2021-15";"930/2021";"A"
0019-21;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"Air Jet Táxi Aéreo LTDA";São Paulo - SP;Jun;Ago;Ago;"CL ASSINADO";"00058.024442/2021-19";"534/2021";"A"
